lsl_timestamp,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
6939.2473489,-2506008.0,-671155.0,286184.0,9864.0,-1299021.0,-1408531.0,-550739.0,1719469.0,1025101.0,768221.0,-436755.0,348717.0,-505309.0,-703651.0,-3142920.0,968563.0
6939.2474081,-2504600.0,-670424.0,285512.0,7917.0,-1301640.0,-1411192.0,-553619.0,1717160.0,1026088.0,769048.0,-437549.0,347192.0,-507912.0,-706765.0,-3145773.0,966301.0
6939.2474532,-2506077.0,-669848.0,288195.0,12440.0,-1295885.0,-1404264.0,-546339.0,1723539.0,1023288.0,769261.0,-435357.0,350909.0,-502163.0,-699955.0,-3138594.0,972877.0
6939.2475539,-2503069.0,-667720.0,287885.0,10381.0,-1299629.0,-1410461.0,-553880.0,1716029.0,1028483.0,771779.0,-434909.0,349773.0,-504792.0,-704915.0,-3146162.0,965224.0
6939.2476002,-2508104.0,-673117.0,284195.0,8467.0,-1299683.0,-1408413.0,-550376.0,1719853.0,1024152.0,766621.0,-438861.0,347192.0,-505837.0,-703315.0,-3142584.0,968861.0
6939.2476663,-2504930.0,-670701.0,286259.0,9187.0,-1300168.0,-1409725.0,-552909.0,1716301.0,1025939.0,768915.0,-436995.0,347949.0,-506611.0,-705347.0,-3145282.0,965400.0
6939.2477241,-2507106.0,-670141.0,287043.0,12499.0,-1294573.0,-1402675.0,-545048.0,1723837.0,1023021.0,768701.0,-436115.0,350899.0,-501581.0,-699085.0,-3137730.0,972872.0
6939.2477817,-2504605.0,-669960.0,289464.0,13416.0,-1295965.0,-1405981.0,-550264.0,1717000.0,1027485.0,769357.0,-433325.0,352813.0,-501389.0,-700584.0,-3142029.0,966221.0
6939.2478405,-2506562.0,-672659.0,284568.0,8525.0,-1299640.0,-1407592.0,-549768.0,1720312.0,1026280.0,766899.0,-437997.0,348003.0,-505149.0,-702867.0,-3141709.0,969043.0
6939.2478923,-2503794.0,-669512.0,286637.0,9624.0,-1299437.0,-1408573.0,-551443.0,1717459.0,1027549.0,769731.0,-435955.0,349133.0,-504701.0,-703645.0,-3143517.0,966435.0
